year,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6.78333333333,7.53333333333,9.74166666667,7.0,9.10833333333,5.825,9.29166666667,8.76666666667,9.13333333333,8.175,9.41666666667,5.55833333333,6.6,6.075,4.0,4.20833333333,5.375,6.7,8.675,6.64166666667,9.6,9.38333333333,5.84166666667,6.53333333333,6.21666666667,5.93333333333,3.20833333333,8.79166666667,6.525,10.4166666667,8.875,10.2083333333,6.23333333333,3.68333333333,7.79166666667,5.70833333333,9.35833333333,7.95833333333,8.21666666667,7.21666666667,3.225,6.08333333333,5.8,5.59166666667,8.34166666667,5.83333333333,8.88333333333,7.33333333333,5.55,3.98333333333
1977,7.31666666667,9.86666666667,8.21666666667,6.45,8.31666666667,6.375,7.0,8.45833333333,8.15,6.90833333333,7.825,5.76666666667,6.23333333333,5.78333333333,3.89166666667,3.91666666667,4.86666666667,7.06666666667,8.24166666667,6.275,7.775,8.20833333333,5.25833333333,7.26666666667,6.075,6.3,3.45833333333,6.74166666667,5.43333333333,9.36666666667,7.61666666667,9.125,5.91666666667,4.53333333333,6.525,4.95,7.425,7.64166666667,8.04166666667,6.84166666667,3.29166666667,6.23333333333,5.325,5.125,6.98333333333,5.475,8.46666666667,6.88333333333,5.11666666667,3.38333333333
1978,6.30833333333,10.6166666667,6.04166666667,6.19166666667,7.15833333333,5.525,5.21666666667,7.40833333333,6.70833333333,5.73333333333,7.10833333333,5.45833333333,5.95833333333,5.58333333333,3.85,3.125,5.10833333333,6.79166666667,6.41666666667,5.525,6.21666666667,6.975,3.85833333333,6.875,4.89166666667,5.74166666667,3.11666666667,4.45833333333,3.81666666667,7.26666666667,5.94166666667,7.75833333333,4.46666666667,4.23333333333,5.46666666667,3.575,6.075,6.925,6.55833333333,5.74166666667,3.1,5.80833333333,4.78333333333,3.79166666667,5.6,5.28333333333,6.825,6.175,4.96666666667,3.00833333333
1979,7.16666666667,9.275,5.1,6.21666666667,6.24166666667,4.74166666667,5.15,7.2,5.95,5.125,6.08333333333,5.80833333333,5.54166666667,6.48333333333,4.21666666667,3.23333333333,5.53333333333,6.6,6.79166666667,5.775,5.51666666667,7.825,4.24166666667,5.775,4.83333333333,5.175,3.05,4.94166666667,3.2,6.925,6.38333333333,7.175,4.76666666667,4.01666666667,5.83333333333,3.375,6.68333333333,6.84166666667,6.41666666667,5.01666666667,3.35833333333,5.84166666667,4.34166666667,4.325,5.14166666667,4.71666666667,6.675,6.91666666667,4.59166666667,2.75833333333
1980,8.89166666667,9.65,6.65833333333,7.56666666667,6.875,5.8,5.80833333333,7.60833333333,6.10833333333,6.35833333333,5.05833333333,7.53333333333,8.15,9.66666666667,6.05833333333,4.46666666667,7.95833333333,6.85,7.625,6.575,5.66666666667,12.3916666667,5.80833333333,7.51666666667,7.24166666667,6.11666666667,3.95,6.19166666667,4.53333333333,7.21666666667,7.56666666667,7.48333333333,6.41666666667,4.94166666667,8.39166666667,4.41666666667,8.48333333333,8.05833333333,7.21666666667,6.75,4.825,7.45833333333,5.15833333333,6.19166666667,6.18333333333,5.19166666667,8.06666666667,9.45833333333,7.225,3.86666666667
1981,10.5333333333,9.375,6.225,8.75833333333,7.41666666667,5.73333333333,6.175,7.85,6.65833333333,6.35,5.425,7.76666666667,8.53333333333,9.85833333333,6.575,4.30833333333,8.575,8.38333333333,7.34166666667,7.25833333333,6.46666666667,12.4166666667,5.775,8.53333333333,7.625,6.825,4.25,7.18333333333,5.16666666667,7.44166666667,7.3,7.575,6.45833333333,4.825,9.39166666667,3.63333333333,9.75833333333,8.40833333333,7.76666666667,8.08333333333,4.95,8.9,5.3,6.56666666667,5.83333333333,5.975,9.56666666667,10.5583333333,8.0,4.075
1982,14.125,9.95833333333,10.075,9.9,9.975,7.35833333333,6.875,8.36666666667,8.45,7.825,6.31666666667,9.90833333333,11.3583333333,11.9916666667,8.51666666667,6.30833333333,10.8333333333,10.275,8.38333333333,8.28333333333,7.725,15.3666666667,7.925,11.1583333333,9.25,8.525,5.66666666667,9.9,6.775,8.71666666667,9.24166666667,8.46666666667,9.225,5.55833333333,12.6916666667,6.00833333333,11.5583333333,11.1833333333,9.7,11.1333333333,5.475,11.7416666667,6.88333333333,8.2,6.99166666667,7.45833333333,11.9333333333,14.0,10.5416666667,6.225
1983,13.8416666667,9.93333333333,8.83333333333,9.825,9.78333333333,7.10833333333,6.00833333333,7.74166666667,8.48333333333,7.775,6.15833333333,8.94166666667,11.8166666667,11.2166666667,8.125,5.85833333333,11.4416666667,11.5166666667,8.28333333333,7.0,6.76666666667,14.3416666667,8.00833333333,12.0166666667,9.9,8.61666666667,5.54166666667,9.58333333333,5.5,8.03333333333,9.65833333333,8.69166666667,8.95833333333,5.65833333333,12.3833333333,8.36666666667,10.7916666667,11.4583333333,8.31666666667,9.86666666667,5.2,11.5666666667,7.91666666667,8.725,6.43333333333,6.45833333333,11.1083333333,17.7916666667,10.225,8.125
1984,11.0,9.85833333333,5.16666666667,8.725,7.75,5.43333333333,4.64166666667,6.30833333333,6.36666666667,6.10833333333,5.675,7.325,9.03333333333,8.54166666667,6.98333333333,4.9,9.275,10.0666666667,6.23333333333,5.35833333333,4.73333333333,11.1916666667,6.26666666667,10.4583333333,7.16666666667,7.60833333333,4.5,7.875,4.3,6.16666666667,7.825,7.15833333333,6.74166666667,5.28333333333,9.46666666667,7.08333333333,9.40833333333,9.06666666667,5.5,6.9,4.39166666667,8.56666666667,6.11666666667,6.45833333333,5.05833333333,5.08333333333,9.26666666667,14.7666666667,7.38333333333,6.24166666667
1985,9.14166666667,9.7,6.35,8.68333333333,7.15,6.06666666667,4.725,5.15,5.975,6.40833333333,5.39166666667,7.86666666667,9.05833333333,7.8,7.45,5.075,9.2,11.5333333333,5.475,4.61666666667,3.975,9.95,5.99166666667,10.3583333333,6.54166666667,7.64166666667,5.15833333333,7.69166666667,3.73333333333,5.6,8.33333333333,6.60833333333,5.55833333333,5.675,8.88333333333,7.18333333333,8.85,8.0,4.63333333333,6.925,4.825,7.93333333333,7.03333333333,6.03333333333,4.78333333333,5.49166666667,8.35,13.15,7.16666666667,6.88333333333
1986,9.70833333333,10.9333333333,6.91666666667,8.55833333333,6.73333333333,7.49166666667,3.85,4.33333333333,5.78333333333,5.975,4.775,8.43333333333,8.29166666667,6.875,6.75833333333,5.35,9.38333333333,12.7333333333,5.275,4.55,3.90833333333,8.825,5.54166666667,11.3833333333,6.275,7.925,5.00833333333,6.2,2.75833333333,5.01666666667,9.30833333333,6.23333333333,5.29166666667,5.84166666667,8.30833333333,8.23333333333,8.04166666667,6.88333333333,4.06666666667,6.44166666667,4.58333333333,7.9,8.75833333333,6.10833333333,4.26666666667,5.04166666667,8.11666666667,11.8083333333,6.96666666667,8.88333333333
1987,8.05,10.2666666667,6.45,8.10833333333,5.78333333333,7.525,3.34166666667,3.1,5.275,5.65833333333,3.81666666667,7.60833333333,7.43333333333,6.225,5.49166666667,4.825,8.45833333333,12.1166666667,4.36666666667,4.35833333333,3.24166666667,8.3,5.09166666667,9.91666666667,6.26666666667,7.45,4.41666666667,6.05833333333,2.325,4.10833333333,8.70833333333,4.875,4.54166666667,4.99166666667,7.11666666667,7.275,6.24166666667,5.64166666667,3.61666666667,5.51666666667,4.2,6.6,8.44166666667,6.21666666667,3.56666666667,4.26666666667,7.33333333333,10.8166666667,5.88333333333,8.00833333333
1988,7.175,8.78333333333,6.36666666667,7.58333333333,5.275,6.49166666667,2.95833333333,3.14166666667,5.10833333333,5.69166666667,3.175,6.04166666667,6.65833333333,5.23333333333,4.5,4.525,7.59166666667,10.8416666667,3.64166666667,4.24166666667,3.25,7.48333333333,4.28333333333,8.4,5.71666666667,6.65833333333,3.56666666667,5.23333333333,2.425,3.80833333333,7.48333333333,4.28333333333,3.64166666667,4.68333333333,6.00833333333,6.40833333333,5.76666666667,5.05,3.1,4.65833333333,4.06666666667,5.81666666667,7.35,4.95,2.99166666667,3.93333333333,6.31666666667,9.825,4.40833333333,6.43333333333
1989,7.04166666667,7.00833333333,5.375,6.975,5.11666666667,5.63333333333,3.75,3.49166666667,5.56666666667,5.5,2.53333333333,5.28333333333,6.01666666667,4.84166666667,4.19166666667,4.175,6.35,7.93333333333,4.05,3.81666666667,4.15,7.15833333333,4.34166666667,7.825,5.55,5.78333333333,2.91666666667,4.725,3.45833333333,4.08333333333,6.70833333333,4.96666666667,3.525,4.29166666667,5.55833333333,5.66666666667,5.41666666667,4.7,4.11666666667,4.59166666667,4.0,5.075,6.65833333333,4.53333333333,3.56666666667,3.88333333333,5.86666666667,8.61666666667,4.33333333333,6.11666666667
1990,6.8,7.23333333333,5.26666666667,6.925,5.78333333333,5.23333333333,5.13333333333,4.71666666667,6.125,5.46666666667,2.675,5.54166666667,6.19166666667,5.30833333333,4.41666666667,4.31666666667,5.975,6.19166666667,5.34166666667,4.45833333333,6.29166666667,7.63333333333,4.78333333333,7.61666666667,5.85833333333,5.975,2.35,4.725,5.66666666667,5.05,6.56666666667,5.36666666667,4.11666666667,4.025,5.66666666667,5.68333333333,5.5,5.49166666667,6.38333333333,4.825,3.78333333333,5.38333333333,6.35,4.39166666667,5.0,4.45833333333,5.26666666667,8.45833333333,4.38333333333,5.325
1991,7.36666666667,8.45833333333,5.975,7.43333333333,7.775,5.25833333333,6.6,6.21666666667,7.59166666667,5.24166666667,2.875,6.19166666667,7.26666666667,5.975,4.675,4.41666666667,7.30833333333,7.29166666667,7.56666666667,6.125,8.65833333333,9.24166666667,5.175,8.59166666667,6.59166666667,6.9,2.65,5.85,7.3,6.71666666667,7.15833333333,7.275,5.81666666667,4.375,6.5,6.30833333333,6.40833333333,7.1,8.6,6.15,3.49166666667,6.78333333333,6.925,4.71666666667,6.56666666667,5.93333333333,6.36666666667,10.675,5.475,5.24166666667
1992,7.56666666667,8.91666666667,7.55833333333,7.08333333333,9.29166666667,6.00833333333,7.54166666667,5.41666666667,8.225,6.9,4.33333333333,6.35833333333,7.91666666667,6.55833333333,4.46666666667,4.49166666667,6.86666666667,8.025,7.275,6.78333333333,8.46666666667,8.93333333333,5.125,8.05,6.20833333333,6.75,2.86666666667,6.64166666667,7.28333333333,8.38333333333,7.16666666667,8.60833333333,6.04166666667,4.75,7.35833333333,5.99166666667,7.39166666667,7.6,8.86666666667,6.74166666667,3.325,6.5,7.625,4.84166666667,6.10833333333,6.275,7.34166666667,11.3083333333,5.10833333333,5.575
1993,7.35,7.70833333333,6.40833333333,6.14166666667,9.43333333333,5.31666666667,6.6,5.05833333333,7.1,6.025,4.49166666667,5.975,7.45833333333,5.38333333333,4.05833333333,4.95833333333,6.25,7.61666666667,7.24166666667,6.18333333333,6.95,7.225,4.975,6.58333333333,6.23333333333,6.03333333333,2.75833333333,6.85,6.11666666667,7.6,6.96666666667,7.9,5.025,4.29166666667,6.61666666667,5.94166666667,7.04166666667,6.94166666667,7.725,7.26666666667,3.34166666667,5.81666666667,7.15833333333,4.06666666667,5.15,5.24166666667,7.325,10.6416666667,4.775,5.375
1994,6.18333333333,7.56666666667,6.14166666667,5.36666666667,8.6,4.24166666667,5.58333333333,4.78333333333,6.40833333333,5.2,5.50833333333,5.40833333333,5.74166666667,4.84166666667,3.50833333333,4.88333333333,5.375,7.83333333333,6.99166666667,5.25,6.01666666667,5.95833333333,4.05,6.24166666667,5.04166666667,5.23333333333,2.63333333333,6.175,4.725,6.80833333333,6.46666666667,6.94166666667,4.36666666667,3.70833333333,5.54166666667,5.53333333333,5.43333333333,6.24166666667,6.9,6.20833333333,3.275,4.825,6.475,3.78333333333,4.56666666667,4.84166666667,6.54166666667,8.825,4.48333333333,4.95833333333
1995,5.93333333333,7.31666666667,5.35833333333,4.84166666667,7.875,4.00833333333,5.49166666667,4.325,5.525,4.83333333333,5.875,5.40833333333,5.15,4.6,3.45,4.40833333333,5.40833333333,6.98333333333,5.94166666667,5.05,5.28333333333,5.25833333333,3.725,6.19166666667,4.71666666667,5.65,2.64166666667,5.56666666667,3.975,6.40833333333,6.58333333333,6.31666666667,4.30833333333,3.225,4.78333333333,4.59166666667,4.9,5.86666666667,6.31666666667,5.19166666667,3.04166666667,5.15833333333,6.05,3.5,4.25833333333,4.525,6.43333333333,7.9,3.75833333333,4.775
1996,5.225,7.58333333333,5.55833333333,5.24166666667,7.25,4.21666666667,5.5,5.09166666667,5.15,4.68333333333,6.25833333333,5.3,5.275,4.05,3.525,4.23333333333,5.45,6.59166666667,5.20833333333,5.03333333333,4.44166666667,4.89166666667,3.93333333333,6.025,4.75,5.325,2.74166666667,5.04166666667,3.80833333333,6.14166666667,7.21666666667,6.25833333333,4.3,2.9,4.99166666667,4.06666666667,5.7,5.45833333333,5.45,5.79166666667,3.15,5.14166666667,5.68333333333,3.35,4.275,4.44166666667,6.04166666667,7.48333333333,3.625,4.94166666667
1997,4.96666666667,7.14166666667,4.575,5.20833333333,6.35,3.45,4.99166666667,4.00833333333,4.76666666667,4.54166666667,6.23333333333,5.13333333333,4.76666666667,3.49166666667,3.09166666667,3.75,5.325,5.975,5.025,4.94166666667,3.90833333333,4.23333333333,3.25,5.65,4.34166666667,5.34166666667,2.49166666667,4.38333333333,3.31666666667,5.275,6.31666666667,6.41666666667,3.75,2.73333333333,4.61666666667,4.06666666667,5.65833333333,5.11666666667,5.125,4.575,2.925,5.23333333333,5.3,3.18333333333,3.90833333333,3.825,4.925,6.85,3.55,4.75833333333
1998,4.375,6.35833333333,4.28333333333,5.15,5.925,3.59166666667,3.425,3.7,4.3,4.25,6.09166666667,5.1,4.425,3.08333333333,2.74166666667,3.51666666667,4.6,5.675,4.49166666667,4.39166666667,3.275,3.95,2.675,5.25,4.11666666667,5.51666666667,2.55,4.20833333333,2.81666666667,4.56666666667,6.05,5.60833333333,3.43333333333,2.89166666667,4.31666666667,4.24166666667,5.73333333333,4.60833333333,4.6,3.775,2.79166666667,4.3,4.84166666667,3.64166666667,3.4,2.9,4.76666666667,6.60833333333,3.35833333333,4.7
1999,4.725,6.46666666667,4.40833333333,4.59166666667,5.24166666667,3.06666666667,2.88333333333,3.40833333333,3.875,3.91666666667,5.4,4.9,4.36666666667,3.04166666667,2.59166666667,3.26666666667,4.5,5.075,3.94166666667,3.55833333333,3.175,3.69166666667,2.76666666667,5.1,3.30833333333,5.25,2.775,3.96666666667,2.7,4.50833333333,5.55,5.175,3.19166666667,3.29166666667,4.28333333333,3.51666666667,5.50833333333,4.36666666667,4.14166666667,4.25833333333,2.725,3.95,4.66666666667,3.525,2.95833333333,2.75,4.9,6.44166666667,3.125,4.61666666667
2000,4.55,6.35833333333,3.94166666667,4.26666666667,4.93333333333,2.74166666667,2.40833333333,3.75833333333,3.73333333333,3.6,4.25833333333,4.68333333333,4.35,3.13333333333,2.61666666667,3.60833333333,4.15,5.28333333333,3.35,3.59166666667,2.7,3.65833333333,3.14166666667,5.31666666667,3.58333333333,4.94166666667,2.83333333333,4.15,2.66666666667,3.68333333333,4.925,4.51666666667,3.69166666667,2.95833333333,4.0,3.04166666667,5.1,4.125,4.075,3.80833333333,2.45833333333,3.83333333333,4.275,3.34166666667,2.79166666667,2.3,5.15,5.48333333333,3.54166666667,3.88333333333
2001,5.15833333333,6.43333333333,4.8,4.95,5.46666666667,3.81666666667,3.11666666667,3.49166666667,4.675,4.05,4.45833333333,5.1,5.36666666667,4.25,3.33333333333,4.23333333333,5.18333333333,5.75833333333,3.83333333333,4.03333333333,3.73333333333,5.21666666667,3.78333333333,5.58333333333,4.61666666667,4.55,3.13333333333,5.2,3.44166666667,4.275,4.91666666667,4.86666666667,5.50833333333,2.93333333333,4.33333333333,3.66666666667,6.43333333333,4.875,4.55833333333,5.23333333333,3.1,4.59166666667,4.96666666667,4.41666666667,3.31666666667,3.24166666667,6.30833333333,5.025,4.55,3.8
2002,5.90833333333,7.30833333333,6.14166666667,5.49166666667,6.68333333333,5.58333333333,4.35,4.01666666667,5.65,5.0,4.24166666667,5.54166666667,6.54166666667,5.19166666667,4.00833333333,5.06666666667,5.70833333333,6.14166666667,4.35833333333,4.43333333333,5.3,6.3,4.51666666667,6.6,5.39166666667,4.4,3.65833333333,5.64166666667,4.46666666667,5.78333333333,5.55,6.14166666667,6.63333333333,3.74166666667,5.76666666667,4.675,7.50833333333,5.63333333333,5.00833333333,5.85833333333,3.2,5.19166666667,6.375,5.80833333333,4.00833333333,4.23333333333,7.39166666667,5.93333333333,5.39166666667,4.04166666667
2003,6.025,7.81666666667,5.79166666667,5.93333333333,6.8,5.975,5.41666666667,4.24166666667,5.23333333333,4.84166666667,4.125,5.625,6.75,5.29166666667,4.51666666667,5.525,6.14166666667,6.41666666667,4.95833333333,4.43333333333,5.725,7.16666666667,4.9,6.31666666667,5.66666666667,4.71666666667,3.94166666667,5.09166666667,4.34166666667,5.83333333333,5.875,6.39166666667,6.38333333333,3.725,6.24166666667,5.46666666667,8.14166666667,5.66666666667,5.33333333333,6.9,3.53333333333,5.64166666667,6.7,5.65,4.3,4.13333333333,7.41666666667,6.05833333333,5.69166666667,4.26666666667
2004,5.70833333333,7.45,5.01666666667,5.7,6.16666666667,5.46666666667,4.95833333333,3.99166666667,4.61666666667,4.76666666667,3.38333333333,4.91666666667,6.18333333333,5.36666666667,4.49166666667,5.45833333333,5.43333333333,5.91666666667,4.64166666667,4.24166666667,5.14166666667,7.01666666667,4.675,6.175,5.84166666667,4.76666666667,3.85,4.29166666667,3.775,4.84166666667,5.5,5.775,5.475,3.40833333333,6.23333333333,4.86666666667,7.28333333333,5.38333333333,5.15833333333,6.83333333333,3.71666666667,5.35833333333,5.93333333333,4.975,3.66666666667,3.80833333333,6.24166666667,5.31666666667,5.01666666667,3.81666666667
2005,4.48333333333,6.88333333333,4.55,5.2,5.36666666667,4.94166666667,4.875,4.14166666667,3.65833333333,5.30833333333,2.85833333333,4.00833333333,5.65833333333,5.425,4.25,4.98333333333,5.86666666667,7.05,4.88333333333,4.11666666667,4.85833333333,6.73333333333,4.04166666667,7.41666666667,5.375,4.30833333333,3.775,4.05833333333,3.575,4.45,5.04166666667,4.98333333333,5.20833333333,3.375,5.89166666667,4.45833333333,6.15,4.95,5.05833333333,6.7,3.8,5.53333333333,5.375,4.0,3.49166666667,3.56666666667,5.525,5.08333333333,4.7,3.56666666667
2006,4.05,6.61666666667,4.08333333333,5.15,4.91666666667,4.20833333333,4.33333333333,3.59166666667,3.23333333333,4.71666666667,2.64166666667,3.425,4.56666666667,5.075,3.7,4.4,5.74166666667,4.50833333333,4.55833333333,3.86666666667,4.89166666667,7.00833333333,4.025,6.56666666667,4.88333333333,3.46666666667,3.125,4.025,3.44166666667,4.725,4.11666666667,4.55,4.75833333333,3.21666666667,5.425,4.00833333333,5.325,4.56666666667,4.91666666667,6.45833333333,3.11666666667,5.20833333333,4.88333333333,2.90833333333,3.68333333333,3.10833333333,5.04166666667,4.94166666667,4.75833333333,3.175
2007,4.05,6.35,3.88333333333,5.30833333333,5.40833333333,3.76666666667,4.48333333333,3.45,4.14166666667,4.625,2.79166666667,3.05833333333,5.025,4.63333333333,3.7,4.26666666667,5.44166666667,4.25833333333,4.7,3.51666666667,4.65,7.10833333333,4.58333333333,6.2,5.15833333333,3.56666666667,3.01666666667,4.49166666667,3.53333333333,4.31666666667,3.775,4.6,4.78333333333,3.10833333333,5.6,4.08333333333,5.18333333333,4.475,5.225,5.71666666667,2.825,4.74166666667,4.275,2.60833333333,4.025,3.11666666667,4.71666666667,4.64166666667,4.94166666667,2.85
2008,5.86666666667,6.70833333333,6.18333333333,5.525,7.45833333333,4.875,5.7,4.99166666667,6.525,6.475,4.34166666667,5.15,6.45,6.05,4.26666666667,4.675,6.575,4.96666666667,5.525,4.35833333333,5.6,8.275,5.48333333333,6.825,6.25,5.11666666667,3.35833333333,6.71666666667,3.88333333333,5.425,4.50833333333,5.54166666667,6.3,3.20833333333,6.6,3.775,6.625,5.45833333333,7.8,7.0,3.1,6.79166666667,4.85,3.61666666667,4.70833333333,4.11666666667,5.50833333333,4.45,5.01666666667,3.075
2009,11.1416666667,7.74166666667,10.25,7.9,11.25,7.55833333333,8.06666666667,8.26666666667,10.5333333333,10.0416666667,7.13333333333,8.83333333333,10.3083333333,10.4,6.40833333333,6.90833333333,10.45,6.93333333333,8.11666666667,7.05833333333,8.3,13.7833333333,7.8,9.7,9.31666666667,6.93333333333,4.65,11.45,6.26666666667,9.11666666667,7.7,8.41666666667,10.6416666667,4.1,10.4083333333,6.41666666667,11.2916666667,8.2,11.0583333333,11.325,4.93333333333,10.6,7.61666666667,7.49166666667,6.6,6.75,9.19166666667,7.78333333333,8.65,6.34166666667
2010,10.5333333333,7.85833333333,10.4166666667,8.18333333333,12.1416666667,8.75,9.10833333333,8.39166666667,10.8916666667,10.3916666667,6.94166666667,8.975,10.2666666667,10.25,5.98333333333,7.00833333333,10.175,7.95,8.125,7.575,8.275,12.4166666667,7.34166666667,10.3333333333,9.525,7.29166666667,4.61666666667,13.5333333333,5.83333333333,9.5,8.125,8.575,10.725,3.775,10.15,6.75833333333,10.5666666667,8.375,11.175,11.0666666667,4.975,9.64166666667,8.1,7.85,6.075,7.05,9.93333333333,8.575,8.59166666667,6.45833333333
2011,9.54166666667,7.56666666667,9.46666666667,8.2,11.5833333333,8.23333333333,8.775,7.49166666667,9.775,10.05,6.80833333333,8.23333333333,9.575,9.025,5.475,6.36666666667,9.3,7.70833333333,7.86666666667,7.14166666667,7.20833333333,10.275,6.38333333333,9.89166666667,8.29166666667,6.93333333333,4.33333333333,13.0416666667,5.4,9.29166666667,7.49166666667,8.275,10.0666666667,3.45,8.8,5.81666666667,9.425,7.875,11.0833333333,10.4083333333,4.69166666667,8.85833333333,7.65,6.69166666667,5.5,6.45833333333,9.14166666667,7.975,7.7,5.76666666667
2012,7.99166666667,7.125,8.275,7.49166666667,10.2333333333,7.675,8.34166666667,7.2,8.31666666667,8.99166666667,6.0,7.13333333333,8.95833333333,8.28333333333,4.99166666667,5.66666666667,8.18333333333,7.00833333333,7.45,6.86666666667,6.675,9.06666666667,5.49166666667,9.0,6.85,5.98333333333,3.93333333333,11.1333333333,5.5,9.20833333333,7.05,8.44166666667,9.10833333333,3.04166666667,7.35833333333,5.225,8.75,7.68333333333,10.3583333333,9.05833333333,4.25,7.8,6.61666666667,5.35,4.93333333333,5.93333333333,8.03333333333,7.44166666667,7.025,5.30833333333
2013,7.125,6.875,7.45833333333,7.175,8.78333333333,6.525,7.64166666667,6.69166666667,7.03333333333,8.0,4.84166666667,6.01666666667,8.85,7.45833333333,4.675,5.16666666667,7.975,6.48333333333,6.6,6.50833333333,6.58333333333,8.53333333333,4.8,8.45,6.475,5.35,3.71666666667,9.425,5.05833333333,8.025,6.70833333333,7.525,7.75833333333,2.9,7.26666666667,5.225,7.79166666667,7.04166666667,9.19166666667,7.48333333333,3.75,7.63333333333,6.025,4.43333333333,4.39166666667,5.54166666667,6.94166666667,6.675,6.6,4.69166666667
2014,6.68333333333,6.80833333333,6.8,6.08333333333,7.54166666667,4.94166666667,6.575,5.725,6.1,7.09166666667,4.36666666667,4.8,6.95833333333,5.93333333333,4.35,4.41666666667,6.4,6.3,5.7,5.75833333333,5.7,7.1,3.98333333333,7.55,5.925,4.69166666667,3.29166666667,7.71666666667,4.3,6.58333333333,6.475,6.24166666667,6.075,2.725,5.63333333333,4.45,6.95833333333,5.64166666667,7.65,6.36666666667,3.375,6.56666666667,5.00833333333,3.71666666667,4.09166666667,5.1,6.26666666667,6.475,5.45833333333,4.31666666667
2015,5.98888888889,6.55555555556,6.18888888889,5.57777777778,6.37777777778,4.22222222222,5.87777777778,4.73333333333,5.56666666667,6.13333333333,3.9,4.0,5.86666666667,5.2,3.85555555556,4.37777777778,5.18888888889,6.45555555556,4.73333333333,5.27777777778,4.75555555556,5.51111111111,3.82222222222,6.63333333333,5.62222222222,4.11111111111,2.7,6.95555555556,3.76666666667,6.16666666667,6.31111111111,5.54444444444,5.62222222222,2.97777777778,5.0,4.23333333333,5.74444444444,5.31111111111,6.01111111111,6.45555555556,3.61111111111,6.02222222222,4.23333333333,3.5,3.72222222222,4.71111111111,5.61111111111,6.95555555556,4.6,4.06666666667
